id,fdc_id,nutrient_id,amount,data_points,derivation_id
2202184,319970,1092,231.0,1,1
2202186,319970,1101,824,1,1
2202182,319970,1095,1.26,1,1
2202191,319971,1166,0.1,1,1
2202192,319972,1167,0.88,1,1
2202193,319973,1079,5.7,1,1
2202194,319974,1165,0.12,1,1
2202195,319975,1175,0.15,1,1
2202200,319976,1126,7.68,1,1
2202202,319976,1130,0.0,1,1
2202199,319976,1129,0.0,1,1
2202197,319976,1109,1.51,1,1
2202203,319976,1131,0.0,1,1
2202198,319976,1128,0.0,1,1
2202201,319976,1127,0.28,1,1
2202196,319976,1125,0.22,1,1
2202204,319977,1162,0.0,1,1
2202206,319981,1002,01.04,1,1
2202205,319981,1007,1.91,1,1
2202207,319981,1004,11.9,1,1
2202208,319981,1051,65.6,1,1
2202209,319982,1170,0.3,1,1
2202217,319983,1095,1.17,1,1
2202213,319983,1089,2.69,1,1
2202216,319983,1093,440.0,1,1
2202214,319983,1098,0.27,1,1
2202212,319983,1090,56.6,1,1
2202215,319983,1087,32.0,1,1
2202211,319983,1101,785,1,1
2202210,319983,1091,134.0,1,1
2202218,319983,1092,271.0,1,1
2202239,319991,1301,28,1,1
2202254,319991,1299,4,1,1
2202232,319991,1405,0.0,1,1
2202223,319991,1272,0.0,1,1
2202228,319991,1276,0.0,1,1
2202226,319991,1303,0.0,1,1
2202225,319991,1333,0.0,1,1
2202257,319991,1311,0.0,1,1
2202241,319991,1316,4.99,1,1
2202245,319991,1267,83,1,1
2202235,319991,1280,0.0,1,1
2202231,319991,1305,0.0,1,1
2202256,319991,1271,3,1,1
2202255,319991,1304,4,1,1
2202233,319991,1334,0.0,1,1
2202240,319991,1315,6.95,1,1
2202227,319991,2019,0.0,1,1
2202249,319991,1306,9,1,1
2202219,319991,2009,0.0,1,1
2202247,319991,1314,23,1,1
2202246,319991,1321,29,1,1
2202248,319991,1312,0.01,1,1
2202234,319991,1278,0.0,1,1
2202251,319991,1300,7,1,1
2202242,319991,1265,01.05,1,1
2202220,319991,2012,126,1,1
2202243,319991,1404,612,1,1
2202253,319991,1313,6,1,1
2202250,319991,1264,8,1,1
2202252,319991,1323,6,1,1
2202258,319991,1259,0.0,1,1
2202260,319991,1273,36,1,1
2202244,319991,1266,493,1,1
2202237,319991,1261,0.0,1,1
2202230,319991,1406,0.0,1,1
2202229,319991,1414,0.0,1,1
2202224,319991,1263,0.0,1,1
2202222,319991,1262,0.0,1,1
2202259,319991,1260,0.0,1,1
2202236,319991,1411,0.0,1,1
2202221,319991,2014,0.0,1,1
2202238,319991,1335,0.0,1,1
2202261,319992,1009,8.0,1,1
2202264,319993,1004,15.2,1,1
2202265,319993,1051,60.5,1,1
2202262,319993,1007,1.99,1,1
2202263,319993,1002,01.09,1,1
2202266,319994,1177,18.0,1,1
2202267,319995,1170,0.26,1,1
2202269,319996,1095,1.46,1,1
2202271,319996,1092,267.0,1,1
2202273,319996,1101,01.04,1,1
2202268,319996,1098,0.34,1,1
2202274,319996,1089,02.03,1,1
2202270,319996,1093,452.0,1,1
2202275,319996,1087,28.0,1,1
2202272,319996,1091,160.0,1,1
2202276,319996,1090,74.4,1,1
2202277,319997,1166,0.12,1,1
2202278,319998,1167,0.85,1,1
2202282,319999,1013,0.0,1,1
2202283,319999,1014,0.0,1,1
2202284,319999,1075,0.0,1,1
2202280,319999,1012,0.0,1,1
2202279,319999,1010,0.0,1,1
2202281,319999,1011,0.0,1,1
2202285,320000,1079,5.5,1,1
2202286,320001,1165,0.13,1,1
2202287,320002,1175,0.11,1,1
2202290,320003,1129,0.0,1,1
2202291,320003,1126,8.4,1,1
2202289,320003,1128,0.0,1,1
2202288,320003,1125,0.22,1,1
2202292,320003,1127,0.33,1,1
2202294,320003,1109,1.62,1,1
2202293,320003,1130,0.0,1,1
2202295,320003,1131,0.0,1,1
2202296,320004,1162,0.0,1,1
2202303,320011,1334,0.0,1,1
2202314,320011,1301,0.03,1,1
2202298,320011,2012,119,1,1
2202335,320011,2019,0.0,1,1
2202306,320011,1280,0.0,1,1
2202338,320011,1312,8,1,1
2202329,320011,1261,0.0,1,1
2202333,320011,1333,0.0,1,1
2202302,320011,1316,5.76,1,1
2202330,320011,1262,0.0,1,1
2202318,320011,1300,0.01,1,1
2202313,320011,1273,62,1,1
2202328,320011,1260,0.0,1,1
2202319,320011,1323,0.01,1,1
2202331,320011,1335,0.0,1,1
2202311,320011,1404,411,1,1
2202305,320011,1411,0.0,1,1
2202325,320011,1299,3,1,1
2202326,320011,1311,3,1,1
2202323,320011,1313,5,1,1
2202321,320011,1264,8,1,1
2202297,320011,2009,0.0,1,1
2202334,320011,1303,0.0,1,1
2202309,320011,1406,0.0,1,1
2202332,320011,1263,0.0,1,1
2202322,320011,1405,0.0,1,1
2202300,320011,1315,8.73,1,1
2202307,320011,1272,0.0,1,1
2202316,320011,1314,26,1,1
2202315,320011,1321,27,1,1
2202299,320011,2014,4,1,1
2202336,320011,1276,0.0,1,1
2202310,320011,1271,5,1,1
2202304,320011,1278,0.0,1,1
2202301,320011,1266,567,1,1
2202308,320011,1305,0.0,1,1
2202312,320011,1267,83,1,1
