fdc_id,data_type,description,food_category_id
320210,sample_food,"MILK, 2% (WAVE 22E)",1
320211,market_acquisition,"MILK, 2% (WAVE 22E)",1
320212,sub_sample_food,"MILK, 2% ",1
320213,sub_sample_food,"MILK, 2% ",1
320214,sub_sample_food,"MILK, 2% ",1
320215,sub_sample_food,"MILK, 2% ",1
320216,sub_sample_food,"MILK, 2% ",1
320217,sub_sample_food,"MILK, 2% ",1
320218,sub_sample_food,"MILK, 2% ",1
320219,sub_sample_food,"MILK, 2% ",1
320220,sub_sample_food,"MILK, 2% ",1
320221,sub_sample_food,"MILK, 2% ",1
320222,sub_sample_food,"Milk, 2%",1
320223,sub_sample_food,"Milk, 2%",1
320224,sub_sample_food,"Milk, 2%",1
320225,sub_sample_food,"Milk, 2%",1
320226,sub_sample_food,"Milk, 2%",1
320227,sub_sample_food,"Milk, 2%",1
320228,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320229,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320230,sample_food,"MILK, 2% (WAVE 22E)",1
320231,market_acquisition,"MILK, 2% (WAVE 22E)",1
320232,sub_sample_food,"MILK, 2% ",1
320233,sub_sample_food,"MILK, 2% ",1
320234,sub_sample_food,"MILK, 2% ",1
320235,sub_sample_food,"MILK, 2% ",1
320236,sub_sample_food,"MILK, 2% ",1
320237,sub_sample_food,"MILK, 2% ",1
320238,sub_sample_food,"MILK, 2% ",1
320239,sub_sample_food,"MILK, 2% ",1
320240,sub_sample_food,"MILK, 2% ",1
320241,sub_sample_food,"MILK, 2% ",1
320242,sub_sample_food,"MILK, 2% ",1
320243,sub_sample_food,"MILK, 2% ",1
320244,sub_sample_food,"MILK, 2% ",1
320245,sub_sample_food,"Milk, 2%",1
320246,sub_sample_food,"Milk, 2%",1
320247,sub_sample_food,"Milk, 2%",1
320248,sub_sample_food,"Milk, 2%",1
320249,sub_sample_food,"Milk, 2%",1
320250,sub_sample_food,"Milk, 2%",1
320251,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320252,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320253,sample_food,"MILK, 2% (WAVE 22E)",1
320254,market_acquisition,"MILK, 2% (WAVE 22E)",1
320255,sub_sample_food,"MILK, 2% ",1
320256,sub_sample_food,"MILK, 2% ",1
320257,sub_sample_food,"MILK, 2% ",1
320258,sub_sample_food,"MILK, 2% ",1
320259,sub_sample_food,"MILK, 2% ",1
320260,sub_sample_food,"MILK, 2% ",1
320261,sub_sample_food,"MILK, 2% ",1
320262,sub_sample_food,"MILK, 2% ",1
320263,sub_sample_food,"MILK, 2% ",1
320264,sub_sample_food,"MILK, 2% ",1
320265,sub_sample_food,"MILK, 2% ",1
320266,sub_sample_food,"MILK, 2% ",1
320267,sub_sample_food,"MILK, 2% ",1
320268,sub_sample_food,"Milk, 2%",1
320269,sub_sample_food,"Milk, 2%",1
320270,sub_sample_food,"Milk, 2%",1
320271,sub_sample_food,"Milk, 2%",1
320272,sub_sample_food,"Milk, 2%",1
320273,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320274,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320275,sample_food,"MILK, 2% (WAVE 22E)",1
320276,market_acquisition,"MILK, 2% (WAVE 22E)",1
320277,sub_sample_food,"MILK, 2% ",1
320278,sub_sample_food,"MILK, 2% ",1
320279,sub_sample_food,"MILK, 2% ",1
320280,sub_sample_food,"MILK, 2% ",1
320281,sub_sample_food,"MILK, 2% ",1
320282,sub_sample_food,"MILK, 2% ",1
320283,sub_sample_food,"MILK, 2% ",1
320284,sub_sample_food,"MILK, 2% ",1
320285,sub_sample_food,"MILK, 2% ",1
320286,sub_sample_food,"MILK, 2% ",1
320287,sub_sample_food,"MILK, 2% ",1
320288,sub_sample_food,"MILK, 2% ",1
320289,sub_sample_food,"MILK, 2% ",1
320290,sub_sample_food,"Milk, 2%",1
320291,sub_sample_food,"Milk, 2%",1
320292,sub_sample_food,"Milk, 2%",1
320293,sub_sample_food,"Milk, 2%",1
320294,sub_sample_food,"Milk, 2%",1
320295,sub_sample_food,"Milk, 2%",1
320296,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320297,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320298,sample_food,"MILK, 2% (WAVE 22E)",1
320299,market_acquisition,"MILK, 2% (WAVE 22E)",1
320300,sub_sample_food,"MILK, 2% ",1
320301,sub_sample_food,"MILK, 2% ",1
320302,sub_sample_food,"MILK, 2% ",1
320303,sub_sample_food,"MILK, 2% ",1
320304,sub_sample_food,"MILK, 2% ",1
320305,sub_sample_food,"MILK, 2% ",1
320306,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320307,sample_food,"MILK, 2% (WAVE 22E)",1
320308,market_acquisition,"MILK, 2% (WAVE 22E)",1
320309,sub_sample_food,"MILK, 2% ",1
320310,sub_sample_food,"MILK, 2% ",1
320311,sub_sample_food,"MILK, 2% ",1
320312,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320313,sample_food,"MILK, 2% (WAVE 22E)",1
320314,market_acquisition,"MILK, 2% (WAVE 22E)",1
320315,sub_sample_food,"MILK, 2% ",1
320316,sub_sample_food,"MILK, 2% ",1
320317,sub_sample_food,"MILK, 2% ",1
320318,sub_sample_food,"MILK, 2% ",1
320319,sub_sample_food,"MILK, 2% ",1
320320,sub_sample_food,"MILK, 2% ",1
320321,sub_sample_food,"MILK, 2% ",1
320322,sub_sample_food,"MILK, 2% ",1
320323,sub_sample_food,"MILK, 2% ",1
320324,sub_sample_food,"MILK, 2% ",1
320325,sub_sample_food,"Milk, 2%",1
320326,sub_sample_food,"Milk, 2%",1
320327,sub_sample_food,"Milk, 2%",1
320328,sub_sample_food,"Milk, 2%",1
320329,sub_sample_food,"Milk, 2%",1
320330,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320331,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320332,sample_food,"MILK, 2% (WAVE 22E)",1
320333,market_acquisition,"MILK, 2% (WAVE 22E)",1
320334,sub_sample_food,"MILK, 2% ",1
320335,sub_sample_food,"MILK, 2% ",1
320336,sub_sample_food,"MILK, 2% ",1
320337,sub_sample_food,"MILK, 2% ",1
320338,sub_sample_food,"MILK, 2% ",1
320339,sub_sample_food,"MILK, 2% ",1
320340,sub_sample_food,"MILK, 2% ",1
320341,sub_sample_food,"MILK, 2% ",1
320342,sub_sample_food,"MILK, 2% ",1
320343,sub_sample_food,"MILK, 2% ",1
320344,sub_sample_food,"Milk, 2%",1
320345,sub_sample_food,"Milk, 2%",1
320346,sub_sample_food,"Milk, 2%",1
320347,sub_sample_food,"Milk, 2%",1
320348,sub_sample_food,"Milk, 2%",1
320349,sub_sample_food,"Milk, 2%",1
320350,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320351,sub_sample_food,"MILK, 2% (WAVE 22E)",1
320353,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",13
320354,market_acquisition,"Beef, eye of round roast, raw (ER37-R-5)",13
320355,market_acquisition,"Beef, eye of round steak, raw (ES36-R-5) ",13
